,hour_mean,hour_std
Zhanjiang(ZJ),5.863772175536882,0.9451765455322609
Maoming(MM),11.266176980913825,2.8317553770185833
Yangjiang(YJ),12.632046865663886,3.6557375743610003
Jiangmen(JM),18.177058034238524,3.554117350193757
Zhuhai(ZH),18.421614650781315,4.390219185997399
Zhongshan(ZS),18.588214855320118,4.158405070790954
Foshan(FS),20.29013894789757,5.128458520154049
Shenzhen(SZ),22.167050331204745,4.514407405293204
Guangzhou(GZ),23.180492191095976,5.0537655824748
Zhaoqing(ZQ),23.59541451482241,6.390310313580649
Dongguan(DG),24.562127817834337,5.779851746805651
Shanwei(SW),24.752579979360167,4.692331474126363
Shantou(ST),25.446988795518205,3.9285700857296577
Huizhou(HZ),26.350981161695444,4.69767174109723
Zhangzhou(ZZ),28.888888888888886,1.4062687156637788
Jieyang(JY),29.76,4.180696303285897
Xiamen(XM),29.916666666666668,3.3552107925005346
Chaozhou(CZ),31.833333333333332,4.12210301057697
